domain,canonical_code,descriptive_name,definition,unit,paper_reference,notes
recycling_scheme,BRS-C,coarse_aggregate_dominant_brick_recycling_scheme,"WB recycling scheme yielding 0.70 t RBC and 0.30 t RBF per t of scheme throughput.",,Supplementary Methods 5,"Feedstock: WB; listed product yields sum to 1.00 t per t of throughput; scheme throughput is measured in t yr^-1."
recycling_scheme,BRS-F,fine_aggregate_dedicated_brick_recycling_scheme,WB recycling scheme yielding 1.00 t RBF per t of scheme throughput.,,Supplementary Methods 5,"Feedstock: WB; single-product yield is 1.00 t per t of throughput; scheme throughput is measured in t yr^-1."
recycling_scheme,BRS-P,powder_dedicated_brick_recycling_scheme,WB recycling scheme yielding 1.00 t RBP per t of scheme throughput.,,Supplementary Methods 5,"Feedstock: WB; single-product yield is 1.00 t per t of throughput; scheme throughput is measured in t yr^-1."
constraint_group,C1,project_demand_and_direct_recyclate_limits,Project demand satisfaction and direct-recyclate replacement limits.,,Supplementary Methods 5,Stable notebook constraint-group identifier.
constraint_group,C2,batching_plant_capacity,Concrete batching plant capacity limits.,,Supplementary Methods 5,Stable notebook constraint-group identifier.
constraint_group,C3,concrete_mix_and_recyclate_replacement,Concrete mix-proportion constraints and the coarse-recyclate replacement limit.,,Supplementary Methods 5,Stable notebook constraint-group identifier.
constraint_group,C4,block_plant_capacity,Block manufacturing plant capacity limits.,,Supplementary Methods 5,Stable notebook constraint-group identifier.
constraint_group,C5,block_mix_and_recyclate_replacement,Block mix-proportion constraints and recyclate replacement limits.,,Supplementary Methods 5,Stable notebook constraint-group identifier.
constraint_group,C6,recycling_scheme_conversion_and_capacity,"Recycling-scheme feedstock balance, fixed-yield conversion, and recycling-plant capacity constraints.",,Supplementary Methods 5,Stable notebook constraint-group identifier.
constraint_group,C7,waste_feedstock_input,Grid-cell WC and WB inputs entering the modeled network.,,Supplementary Methods 5,Inputs already reflect the scenario dimensions and applicable city-specific policy targets.
constraint_group,C8,virgin_material_supply_capacity,Virgin-material supply-capacity limits.,,Supplementary Methods 5,Stable notebook constraint-group identifier.
constraint_group,C9,intermediate_node_flow_conservation,Material-flow conservation at wharves and manufacturing plants.,,Supplementary Methods 5,WAT is excluded only from the manufacturing-node inflow-outflow balance.
